Session,Treatment,Iteration,Time (Recording),Time (Session),no step,S1,S2,S3,S4,S5,S6,S7
H01T1,Hypothesis,2,0:30:19,0:16:07,,,,,,0:00:04,,
H01T1,Hypothesis,2,0:30:23,0:16:11,,,,,,,0:00:19,
H01T1,Hypothesis,2,0:30:42,0:16:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:31:12,0:17:00,,,,,,0:00:04,,
H01T1,Hypothesis,2,0:31:16,0:17:04,,,,,,,0:00:26,
H01T1,Hypothesis,2,0:31:42,0:17:30,,,,,,,0:00:24,
H01T1,Hypothesis,2,0:32:06,0:17:54,,,,,0:00:06,,,
H01T1,Hypothesis,2,0:32:12,0:18:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:32:42,0:18:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:33:12,0:19:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:33:42,0:19:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:34:12,0:20:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:34:42,0:20:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:35:12,0:21:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:35:42,0:21:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:36:12,0:22:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:36:42,0:22:30,,,,,0:00:04,,,
H01T1,Hypothesis,2,0:36:46,0:22:34,,,,,,0:00:13,,
H01T1,Hypothesis,2,0:36:59,0:22:47,,,,,,,0:00:13,
H01T1,Hypothesis,2,0:37:12,0:23:00,,,,,,,0:00:25,
H01T1,Hypothesis,2,0:37:37,0:23:25,,,,,0:00:05,,,
H01T1,Hypothesis,2,0:37:42,0:23:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:38:12,0:24:00,,,,,0:00:10,,,
H01T1,Hypothesis,2,0:38:22,0:24:10,,,,,,0:00:05,,
H01T1,Hypothesis,2,0:38:27,0:24:15,,,,,,,,0:00:15
H01T1,Hypothesis,2,0:38:42,0:24:30,,,,,,,,0:00:30
H01T1,Hypothesis,2,0:39:12,0:25:00,,,,,,,,0:00:19
H01T1,Hypothesis,3,0:39:31,0:25:19,,,0:00:11,,,,,
H01T1,Hypothesis,3,0:39:42,0:25:30,,,0:00:21,,,,,
H01T1,Hypothesis,3,0:40:03,0:25:51,,,,,,,0:00:09,
H01T1,Hypothesis,3,0:40:12,0:26:00,,,,,,,0:00:16,
H01T1,Hypothesis,3,0:40:28,0:26:16,,,,,0:00:14,,,
H01T1,Hypothesis,3,0:40:42,0:26:30,,,,,0:00:30,,,
H01T1,Hypothesis,3,0:41:12,0:27:00,,,,,0:00:30,,,
H01T1,Hypothesis,3,0:41:42,0:27:30,,,,,0:00:30,,,
H01T1,Hypothesis,3,0:42:12,0:28:00,,,,,0:00:30,,,
H01T1,Hypothesis,3,0:42:42,0:28:30,,,,,0:00:30,,,
H01T1,Hypothesis,3,0:43:12,0:29:00,,,,,0:00:30,,,
H01T1,Hypothesis,3,0:43:42,0:29:30,,,,,0:00:30,,,
H01T2,Hypothesis,1,0:48:58,0:00:00,,,0:00:30,,,,,
H01T2,Hypothesis,1,0:49:28,0:00:30,,,0:00:30,,,,,
H01T2,Hypothesis,1,0:49:58,0:01:00,,,0:00:30,,,,,
H01T2,Hypothesis,1,0:50:28,0:01:30,,,0:00:26,,,,,
H01T2,Hypothesis,1,0:50:54,0:01:56,,,,,,,0:00:04,
H01T2,Hypothesis,1,0:50:58,0:02:00,,,0:00:30,,,,,
H01T2,Hypothesis,1,0:51:28,0:02:30,,,0:00:30,,,,,
H01T2,Hypothesis,1,0:51:58,0:03:00,,,0:00:30,,,,,
H01T2,Hypothesis,1,0:52:28,0:03:30,,,0:00:12,,,,,
H01T2,Hypothesis,1,0:52:40,0:03:42,,,,0:00:18,,,,
H01T2,Hypothesis,1,0:52:58,0:04:00,,,0:00:19,,,,,
H01T2,Hypothesis,1,0:53:17,0:04:19,,,,,0:00:11,,,
H01T2,Hypothesis,1,0:53:28,0:04:30,,,,,0:00:30,,,
H01T2,Hypothesis,1,0:53:58,0:05:00,,,,,0:00:30,,,
H01T2,Hypothesis,1,0:54:28,0:05:30,,,,,0:00:30,,,
H01T2,Hypothesis,1,0:54:58,0:06:00,,,,,0:00:28,,,
H01T2,Hypothesis,1,0:55:26,0:06:28,,,,,,0:00:02,,
H01T2,Hypothesis,1,0:55:28,0:06:30,,,,,,,0:00:11,
H01T2,Hypothesis,2,0:55:39,0:06:41,,,0:00:19,,,,,
H01T2,Hypothesis,2,0:55:58,0:07:00,,,,,0:00:22,,,
H01T2,Hypothesis,2,0:56:20,0:07:22,,,0:00:08,,,,,
H01T2,Hypothesis,2,0:56:28,0:07:30,,,0:00:30,,,,,
H01T2,Hypothesis,2,0:56:58,0:08:00,,,0:00:30,,,,,
H01T2,Hypothesis,2,0:57:28,0:08:30,,,,,0:00:30,,,
H01T2,Hypothesis,2,0:57:58,0:09:00,,,,,0:00:30,,,
H01T2,Hypothesis,2,0:58:28,0:09:30,,,,,0:00:30,,,
H01T2,Hypothesis,2,0:58:58,0:10:00,,,,,0:00:30,,,
H01T2,Hypothesis,2,0:59:28,0:10:30,,,0:00:30,,,,,
H01T2,Hypothesis,2,0:59:58,0:11:00,,,0:00:19,,,,,
H01T2,Hypothesis,2,1:00:17,0:11:19,,,,,0:00:11,,,
H01T2,Hypothesis,2,1:00:28,0:11:30,,,0:00:30,,,,,
H01T2,Hypothesis,2,1:00:58,0:12:00,,,,,0:00:20,,,
H01T2,Hypothesis,2,1:01:18,0:12:20,,,0:00:10,,,,,
H01T2,Hypothesis,2,1:01:28,0:12:30,,,0:00:30,,,,,
H01T2,Hypothesis,2,1:01:58,0:13:00,,,0:00:30,,,,,
H01T2,Hypothesis,2,1:02:28,0:13:30,,,0:00:30,,,,,
H01T2,Hypothesis,2,1:02:58,0:14:00,,,0:00:30,,,,,
H01T2,Hypothesis,2,1:03:28,0:14:30,,,0:00:30,,,,,
H01T2,Hypothesis,2,1:03:58,0:15:00,,,0:00:30,,,,,
H01T2,Hypothesis,2,1:04:28,0:15:30,,,0:00:30,,,,,
H01T2,Hypothesis,2,1:04:58,0:16:00,,,0:00:30,,,,,
H01T2,Hypothesis,2,1:05:28,0:16:30,,,0:00:05,,,,,
H01T2,Hypothesis,2,1:05:33,0:16:35,,,,,0:00:25,,,
H01T2,Hypothesis,2,1:05:58,0:17:00,,,,0:00:18,,,,
H01T2,Hypothesis,2,1:06:16,0:17:18,,,,,0:00:12,,,
H01T2,Hypothesis,2,1:06:28,0:17:30,,,,0:00:13,,,,
H01T2,Hypothesis,2,1:06:41,0:17:43,,,,,0:00:17,,,
H01T2,Hypothesis,2,1:06:58,0:18:00,,,,,0:00:30,,,
H01T2,Hypothesis,2,1:07:28,0:18:30,,,,,0:00:30,,,
H01T2,Hypothesis,2,1:07:58,0:19:00,,,,0:00:17,,,,
H01T2,Hypothesis,2,1:08:15,0:19:17,,,,,,0:00:04,,
H01T2,Hypothesis,2,1:08:19,0:19:21,,,,,,,0:00:04,
H01T2,Hypothesis,2,1:08:23,0:19:25,,,,,0:00:05,,,
H01T2,Hypothesis,3,1:08:28,0:19:30,,,0:00:30,,,,,
H01T2,Hypothesis,3,1:08:58,0:20:00,,,0:00:15,,,,,
H01T2,Hypothesis,3,1:09:13,0:20:15,,,,,0:00:15,,,
H01T2,Hypothesis,3,1:09:28,0:20:30,,,,,0:00:20,,,
H01T2,Hypothesis,3,1:09:48,0:20:50,,,,,,0:00:04,,
H01T2,Hypothesis,3,1:09:52,0:20:54,,,,,,,0:00:06,
H01T2,Hypothesis,3,1:09:58,0:21:00,,,,,,,,0:00:30
H01T2,Hypothesis,3,1:10:28,0:21:30,,,,,,,,0:00:30
H01T2,Hypothesis,3,1:10:58,0:22:00,,,,,,,,0:00:30
H01T2,Hypothesis,3,1:11:28,0:22:30,,,,,,,,0:00:30
H01T2,Hypothesis,3,1:11:58,0:23:00,,,,,,,,0:00:22
H01T2,Hypothesis,4,1:12:20,0:23:22,,,0:00:08,,,,,
H01T2,Hypothesis,4,1:12:28,0:23:30,,,0:00:30,,,,,
H01T2,Hypothesis,4,1:12:58,0:24:00,,,0:00:30,,,,,
H01T2,Hypothesis,4,1:13:28,0:24:30,,,0:00:30,,,,,
H01T2,Hypothesis,4,1:13:58,0:25:00,,,,0:00:30,,,,
H01T2,Hypothesis,4,1:14:28,0:25:30,,,,0:00:17,,,,
H01T2,Hypothesis,4,1:14:45,0:25:47,,,,,0:00:13,,,
H01T2,Hypothesis,4,1:14:58,0:26:00,,,,,0:00:30,,,
H01T2,Hypothesis,4,1:15:28,0:26:30,,,,,0:00:30,,,
H01T2,Hypothesis,4,1:15:58,0:27:00,,,,,0:00:30,,,
H01T2,Hypothesis,4,1:16:28,0:27:30,,,,,0:00:30,,,
H01T2,Hypothesis,4,1:16:58,0:28:00,,,,,0:00:30,,,
H01T2,Hypothesis,4,1:17:28,0:28:30,,,,,0:00:07,,,
H01T2,Hypothesis,4,1:17:35,0:28:37,,,0:00:13,,,,,
H01T2,Hypothesis,4,1:17:48,0:28:50,,,,,0:00:10,,,
H01T2,Hypothesis,4,1:17:58,0:29:00,,,,,0:00:30,,,
H01T2,Hypothesis,4,1:18:28,0:29:30,,,,,0:00:30,,,
H01T2,Hypothesis,4,1:18:58,0:30:00,,,,,0:00:30,,,
H01T2,Hypothesis,4,1:19:28,0:30:30,,,,0:00:30,,,,
H02T1,Hypothesis,1,0:24:42,0:00:00,,,0:00:30,,,,,
H02T1,Hypothesis,1,0:25:12,0:00:30,,,0:00:26,,,,,
H02T1,Hypothesis,1,0:25:38,0:00:56,,,,0:00:04,,,,
H02T1,Hypothesis,1,0:25:42,0:01:00,,,,0:00:07,,,,
H02T1,Hypothesis,1,0:25:49,0:01:07,,,0:00:23,,,,,
H02T1,Hypothesis,1,0:26:12,0:01:30,,,0:00:26,,,,,
H02T1,Hypothesis,1,0:26:38,0:01:56,,,,,,0:00:04,,
H02T1,Hypothesis,1,0:26:42,0:02:00,,,,,,,0:00:12,
H02T1,Hypothesis,1,0:26:54,0:02:12,,,,,,,0:00:05,
H02T1,Hypothesis,1,0:26:59,0:02:17,,,,,,0:00:04,,
H02T1,Hypothesis,1,0:27:03,0:02:21,,,,,,,0:00:09,
H02T1,Hypothesis,1,0:27:12,0:02:30,,,,,,,0:00:21,
H02T1,Hypothesis,2,0:27:33,0:02:51,,,0:00:25,,,,,
H02T1,Hypothesis,2,0:27:58,0:03:16,,,,,,0:00:01,,
H02T1,Hypothesis,2,0:27:59,0:03:17,,,,,,,0:00:13,
H02T1,Hypothesis,2,0:28:12,0:03:30,,,,,,,0:00:30,
H02T1,Hypothesis,2,0:28:42,0:04:00,,,,,,,0:00:30,
H02T1,Hypothesis,2,0:29:12,0:04:30,,,,,,,0:00:30,
H02T1,Hypothesis,2,0:29:42,0:05:00,,,,,,,0:00:30,
H02T1,Hypothesis,2,0:30:12,0:05:30,,,,,,,0:00:30,
H02T1,Hypothesis,3,0:30:42,0:06:00,,,,0:00:18,,,,
H02T1,Hypothesis,3,0:31:00,0:06:18,,,,,0:00:11,,,
H02T1,Hypothesis,3,0:31:11,0:06:29,,,,,,0:00:01,,
H02T1,Hypothesis,3,0:31:12,0:06:30,,,,,,,,0:00:30
H02T1,Hypothesis,3,0:31:42,0:07:00,,,,,0:00:30,,,
H02T1,Hypothesis,4,0:32:12,0:07:30,,,0:00:30,,,,,
H02T1,Hypothesis,4,0:32:42,0:08:00,,,0:00:30,,,,,
H02T2,Hypothesis,1,0:40:33,0:00:00,,,0:00:30,,,,,
H02T2,Hypothesis,1,0:41:03,0:00:30,,,0:00:30,,,,,
H02T2,Hypothesis,1,0:41:33,0:01:00,,,0:00:30,,,,,
H02T2,Hypothesis,1,0:42:03,0:01:30,,,0:00:30,,,,,
H02T2,Hypothesis,1,0:42:33,0:02:00,,,0:00:30,,,,,
H02T2,Hypothesis,1,0:43:03,0:02:30,,,0:00:30,,,,,
H02T2,Hypothesis,1,0:43:33,0:03:00,,,0:00:30,,,,,
H02T2,Hypothesis,1,0:44:03,0:03:30,,,0:00:14,,,,,
H02T2,Hypothesis,1,0:44:17,0:03:44,,,,,,,0:00:11,
H02T2,Hypothesis,1,0:44:28,0:03:55,,,,,0:00:05,,,
H02T2,Hypothesis,1,0:44:33,0:04:00,,,,,0:00:13,,,
H02T2,Hypothesis,1,0:44:46,0:04:13,,,,,,0:00:03,,
H02T2,Hypothesis,1,0:44:49,0:04:16,,,,,,,0:00:14,
H02T2,Hypothesis,1,0:45:03,0:04:30,,,,,0:00:21,,,
H02T2,Hypothesis,1,0:45:24,0:04:51,,,,,,0:00:01,,
H02T2,Hypothesis,1,0:45:25,0:04:52,,,,,,,0:00:08,
H02T2,Hypothesis,1,0:45:33,0:05:00,,,,,0:00:07,,,
H02T2,Hypothesis,1,0:45:40,0:05:07,,,,,,0:00:01,,
H02T2,Hypothesis,1,0:45:41,0:05:08,,,,,,,0:00:03,
H02T2,Hypothesis,1,0:45:44,0:05:11,,,,,0:00:19,,,
H02T2,Hypothesis,1,0:46:03,0:05:30,,,,,0:00:02,,,
H02T2,Hypothesis,1,0:46:05,0:05:32,,,,,,0:00:03,,
H02T2,Hypothesis,1,0:46:08,0:05:35,,,,,,,0:00:11,
H02T2,Hypothesis,2,0:46:19,0:05:46,,,0:00:14,,,,,
H02T2,Hypothesis,2,0:46:33,0:06:00,,,0:00:10,,,,,
H02T2,Hypothesis,2,0:46:43,0:06:10,,,,,0:00:04,,,
H02T2,Hypothesis,2,0:46:47,0:06:14,,,,,,0:00:01,,
H02T2,Hypothesis,2,0:46:48,0:06:15,,,,,,,0:00:02,
H02T2,Hypothesis,2,0:46:50,0:06:17,,,,,0:00:08,,,
H02T2,Hypothesis,2,0:46:58,0:06:25,,,,,,0:00:01,,
H02T2,Hypothesis,2,0:46:59,0:06:26,,,,,,,0:00:04,
H02T2,Hypothesis,2,0:47:03,0:06:30,,,,,0:00:18,,,
H02T2,Hypothesis,3,0:47:21,0:06:48,,,0:00:12,,,,,
H02T2,Hypothesis,3,0:47:33,0:07:00,,,0:00:14,,,,,
H02T2,Hypothesis,3,0:47:47,0:07:14,,,,,,0:00:01,,
H02T2,Hypothesis,3,0:47:48,0:07:15,,,,,,,0:00:15,
H02T2,Hypothesis,3,0:48:03,0:07:30,,,,,0:00:15,,,
H02T2,Hypothesis,3,0:48:18,0:07:45,,,,,,0:00:02,,
H02T2,Hypothesis,3,0:48:20,0:07:47,,,,,,,0:00:06,
H02T2,Hypothesis,3,0:48:26,0:07:53,,,,,0:00:02,,,
H02T2,Hypothesis,3,0:48:28,0:07:55,,,,,,0:00:02,,
H02T2,Hypothesis,3,0:48:30,0:07:57,,,,,,,0:00:03,
H02T2,Hypothesis,3,0:48:33,0:08:00,,,,,,,0:00:05,
H02T2,Hypothesis,4,0:48:38,0:08:05,,,0:00:08,,,,,
H02T2,Hypothesis,4,0:48:46,0:08:13,,,,,0:00:09,,,
H02T2,Hypothesis,4,0:48:55,0:08:22,,,,,,0:00:01,,
H02T2,Hypothesis,4,0:48:56,0:08:23,,,,,,,0:00:04,
H02T2,Hypothesis,4,0:49:00,0:08:27,,,,,0:00:03,,,
H02T2,Hypothesis,4,0:49:03,0:08:30,,,,,,0:00:01,,
H02T2,Hypothesis,4,0:49:04,0:08:31,,,,,,,0:00:02,
H02T2,Hypothesis,5,0:49:06,0:08:33,,,0:00:13,,,,,
H02T2,Hypothesis,5,0:49:19,0:08:46,,,,,,0:00:11,,
H02T2,Hypothesis,5,0:49:30,0:08:57,,,,,,,0:00:03,
H02T2,Hypothesis,5,0:49:33,0:09:00,,,,,,,0:00:18,
H02T2,Hypothesis,5,0:49:51,0:09:18,,,,,0:00:04,,,
H02T2,Hypothesis,5,0:49:55,0:09:22,,,,,,0:00:04,,
H02T2,Hypothesis,5,0:49:59,0:09:26,,,,,,,0:00:04,
H02T2,Hypothesis,5,0:50:03,0:09:30,,,,,,,0:00:10,
H02T2,Hypothesis,5,0:50:13,0:09:40,,,,,,,,0:00:20
H02T2,Hypothesis,5,0:50:33,0:10:00,,,,,0:00:04,,,
H02T2,Hypothesis,5,0:50:37,0:10:04,,,,,,0:00:02,,
H02T2,Hypothesis,5,0:50:39,0:10:06,,,,,,,0:00:24,
H02T2,Hypothesis,5,0:51:03,0:10:30,,,,,0:00:04,,,
H02T2,Hypothesis,5,0:51:07,0:10:34,,,,,,0:00:02,,
H02T2,Hypothesis,5,0:51:09,0:10:36,,,,,,,0:00:24,
H02T2,Hypothesis,5,0:51:33,0:11:00,,,,,0:00:30,,,
H02T2,Hypothesis,5,0:52:03,0:11:30,,,,,0:00:09,,,
H02T2,Hypothesis,6,0:52:12,0:11:39,,,0:00:21,,,,,
H02T2,Hypothesis,6,0:52:33,0:12:00,,,0:00:30,,,,,
H02T2,Hypothesis,6,0:53:03,0:12:30,,,0:00:30,,,,,
H02T2,Hypothesis,6,0:53:33,0:13:00,,,0:00:30,,,,,
H02T2,Hypothesis,6,0:54:03,0:13:30,,,0:00:30,,,,,
H02T2,Hypothesis,6,0:54:33,0:14:00,,,0:00:30,,,,,
H02T2,Hypothesis,6,0:55:03,0:14:30,,,,,0:00:12,,,
H02T2,Hypothesis,6,0:55:15,0:14:42,,,,,,0:00:05,,
H02T2,Hypothesis,6,0:55:20,0:14:47,,,,,,,0:00:03,
H02T2,Hypothesis,6,0:55:23,0:14:50,,,,,0:00:02,,,
H02T2,Hypothesis,6,0:55:25,0:14:52,,,,,,0:00:02,,
H02T2,Hypothesis,6,0:55:27,0:14:54,,,,,,,0:00:06,
H02T2,Hypothesis,6,0:55:33,0:15:00,,,,,,,0:00:17,
H02T2,Hypothesis,7,0:55:50,0:15:17,,,,0:00:07,,,,
H02T2,Hypothesis,7,0:55:57,0:15:24,,,,,0:00:06,,,
H02T2,Hypothesis,7,0:56:03,0:15:30,,,,,0:00:28,,,
H02T2,Hypothesis,7,0:56:31,0:15:58,,,,,,0:00:02,,
H02T2,Hypothesis,7,0:56:33,0:16:00,,,,,,,0:00:09,
H02T2,Hypothesis,8,0:56:42,0:16:09,,,0:00:21,,,,,
H02T2,Hypothesis,8,0:57:03,0:16:30,,,0:00:30,,,,,
H02T2,Hypothesis,8,0:57:33,0:17:00,,,,,0:00:30,,,
H02T2,Hypothesis,8,0:58:03,0:17:30,,,,,0:00:30,,,
H02T2,Hypothesis,8,0:58:33,0:18:00,,,,,0:00:11,,,
H02T2,Hypothesis,8,0:58:44,0:18:11,,,,,,0:00:02,,
H02T2,Hypothesis,8,0:58:46,0:18:13,,,,,,,0:00:06,
H02T2,Hypothesis,8,0:58:52,0:18:19,,,,,0:00:02,,,
H02T2,Hypothesis,8,0:58:54,0:18:21,,,,,,0:00:01,,
H02T2,Hypothesis,8,0:58:55,0:18:22,,,,,,,0:00:08,
H02T2,Hypothesis,8,0:59:03,0:18:30,,,,,0:00:09,,,
H02T2,Hypothesis,8,0:59:12,0:18:39,,,,,,0:00:02,,
H02T2,Hypothesis,8,0:59:14,0:18:41,,,,,,,0:00:19,
H02T2,Hypothesis,8,0:59:33,0:19:00,,,,,,,0:00:22,
H02T2,Hypothesis,8,0:59:55,0:19:22,,,,,,,,0:00:08
H02T2,Hypothesis,8,1:00:03,0:19:30,,,,,,,,0:00:12
H02T2,Hypothesis,8,1:00:15,0:19:42,,,,,0:00:18,,,
H02T2,Hypothesis,8,1:00:33,0:20:00,,,,,,0:00:03,,
H02T2,Hypothesis,8,1:00:36,0:20:03,,,,,,,0:00:09,
H02T2,Hypothesis,8,1:00:45,0:20:12,,,,,0:00:18,,,
H02T2,Hypothesis,8,1:01:03,0:20:30,,,,,0:00:06,,,
H02T2,Hypothesis,8,1:01:09,0:20:36,,,,,,0:00:02,,
H02T2,Hypothesis,8,1:01:11,0:20:38,,,,,,,,0:00:22
H02T2,Hypothesis,8,1:01:33,0:21:00,,,,,,,,0:00:26
H02T2,Hypothesis,8,1:01:59,0:21:26,,,,,0:00:04,,,
H02T2,Hypothesis,8,1:02:03,0:21:30,,,,,0:00:30,,,
H02T2,Hypothesis,8,1:02:33,0:22:00,,,,,,,0:00:30,
H02T2,Hypothesis,9,1:03:03,0:22:30,,,0:00:09,,,,,
H02T2,Hypothesis,9,1:03:12,0:22:39,,,,,0:00:05,,,
H02T2,Hypothesis,9,1:03:17,0:22:44,,,,,,0:00:04,,
H02T2,Hypothesis,9,1:03:21,0:22:48,,,,,,,0:00:08,
H02T2,Hypothesis,9,1:03:29,0:22:56,,,,,0:00:04,,,
H02T2,Hypothesis,9,1:03:33,0:23:00,,,,,0:00:30,,,
H02T2,Hypothesis,9,1:04:03,0:23:30,,,,,0:00:30,,,
H02T2,Hypothesis,9,1:04:33,0:24:00,,,,,0:00:28,,,
H02T2,Hypothesis,9,1:05:01,0:24:28,,,,,,0:00:01,,
H02T2,Hypothesis,9,1:05:02,0:24:29,,,,,,,0:00:01,
H02T2,Hypothesis,9,1:05:03,0:24:30,,,,,,,0:00:09,
H02T2,Hypothesis,9,1:05:12,0:24:39,,,,,0:00:21,,,
H02T2,Hypothesis,9,1:05:33,0:25:00,,,,,0:00:26,,,
H02T2,Hypothesis,9,1:05:59,0:25:26,,,,,,0:00:01,,
H02T2,Hypothesis,9,1:06:00,0:25:27,,,,,,,0:00:03,
H02T2,Hypothesis,9,1:06:03,0:25:30,,,,,,,0:00:10,
H02T2,Hypothesis,9,1:06:13,0:25:40,,,,,0:00:20,,,
H02T2,Hypothesis,9,1:06:33,0:26:00,,,,,0:00:30,,,
H02T2,Hypothesis,9,1:07:03,0:26:30,,,,,0:00:30,,,
H02T2,Hypothesis,9,1:07:33,0:27:00,,,,,0:00:30,,,
H02T2,Hypothesis,9,1:08:03,0:27:30,,,,,0:00:17,,,
H02T2,Hypothesis,9,1:08:20,0:27:47,,,,,,0:00:02,,
H02T2,Hypothesis,9,1:08:22,0:27:49,,,,,,,0:00:03,
H02T2,Hypothesis,9,1:08:25,0:27:52,,,,,0:00:08,,,
H03T1,Hypothesis,1,0:14:50,0:00:00,,,0:00:30,,,,,
H03T1,Hypothesis,1,0:15:20,0:00:30,,,0:00:19,,,,,
H03T1,Hypothesis,1,0:15:39,0:00:49,,,,,0:00:11,,,
H03T1,Hypothesis,1,0:15:50,0:01:00,,,,,0:00:30,,,
H03T1,Hypothesis,1,0:16:20,0:01:30,,,,,0:00:30,,,
H03T1,Hypothesis,1,0:16:50,0:02:00,,,,,0:00:30,,,
H03T1,Hypothesis,1,0:17:20,0:02:30,,,,,0:00:30,,,
H03T1,Hypothesis,1,0:17:50,0:03:00,,,,,0:00:30,,,
H03T1,Hypothesis,1,0:18:20,0:03:30,,,,,0:00:30,,,
H03T1,Hypothesis,1,0:18:50,0:04:00,,,,,0:00:02,,,
H03T1,Hypothesis,1,0:18:52,0:04:02,,,,,,0:00:04,,
H03T1,Hypothesis,1,0:18:56,0:04:06,,,,,,,0:00:12,
H03T1,Hypothesis,1,0:19:08,0:04:18,,,,,,0:00:12,,
H03T1,Hypothesis,1,0:19:20,0:04:30,,,,,,0:00:24,,
H03T1,Hypothesis,1,0:19:44,0:04:54,,,,,,,0:00:06,
H03T1,Hypothesis,1,0:19:50,0:05:00,,,,,,,0:00:04,
H03T1,Hypothesis,2,0:19:54,0:05:04,,,0:00:26,,,,,
H03T1,Hypothesis,2,0:20:20,0:05:30,,,0:00:20,,,,,
H03T1,Hypothesis,2,0:20:40,0:05:50,,,,0:00:10,,,,
H03T1,Hypothesis,2,0:20:50,0:06:00,,,,0:00:05,,,,
H03T1,Hypothesis,2,0:20:55,0:06:05,,,,,0:00:25,,,
H03T1,Hypothesis,2,0:21:20,0:06:30,,,,,0:00:15,,,
H03T1,Hypothesis,2,0:21:35,0:06:45,,,,0:00:15,,,,
H03T1,Hypothesis,2,0:21:50,0:07:00,,,,0:00:10,,,,
H03T1,Hypothesis,2,0:22:00,0:07:10,,,,,0:00:20,,,
H03T1,Hypothesis,2,0:22:20,0:07:30,,,,,0:00:30,,,
H03T1,Hypothesis,2,0:22:50,0:08:00,,,,,0:00:09,,,
H03T1,Hypothesis,2,0:22:59,0:08:09,,,,,,0:00:02,,
H03T1,Hypothesis,2,0:23:01,0:08:11,,,,,,,0:00:06,
H03T1,Hypothesis,2,0:23:07,0:08:17,,,,,,0:00:01,,
H03T1,Hypothesis,2,0:23:08,0:08:18,,,,,,,0:00:12,
H03T1,Hypothesis,2,0:23:20,0:08:30,,,,,0:00:30,,,
H03T2,Hypothesis,1,0:27:53,0:00:00,,,0:00:10,,,,,
H03T2,Hypothesis,1,0:28:03,0:00:10,,,,0:00:20,,,,
