Rater,Session,Treatment,Time (Recording),Time (Session),S1,S2,S3,S4,S5,S6,S7
Author 3,H02T2,Hypothesis,0:54:33,0:14:00,,X,,,,,
Author 3,H02T2,Hypothesis,0:55:03,0:14:30,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:55:33,0:15:00,,,X,X,,X,
Author 3,H02T2,Hypothesis,0:56:03,0:15:30,,,,X,X,,
Author 3,H02T2,Hypothesis,0:56:33,0:16:00,,X,,,,X,
Author 3,H02T2,Hypothesis,0:57:03,0:16:30,,X,,,,,
Author 3,H02T2,Hypothesis,0:57:33,0:17:00,,,,X,,,
Author 3,H02T2,Hypothesis,0:58:03,0:17:30,,,,X,,,
Author 3,H02T2,Hypothesis,0:58:33,0:18:00,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:59:03,0:18:30,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:59:33,0:19:00,,,,,,X,X
Author 3,H02T2,Hypothesis,1:00:03,0:19:30,,,,X,,,X
Author 3,H02T2,Hypothesis,1:00:33,0:20:00,,,,X,X,X,
Author 3,H02T2,Hypothesis,1:01:03,0:20:30,,,,X,X,,X
Author 3,H02T2,Hypothesis,1:01:33,0:21:00,,,,X,,,X
Author 3,H02T2,Hypothesis,1:02:03,0:21:30,,,,X,,,
Author 3,H02T2,Hypothesis,1:02:33,0:22:00,,,,,,X,
Author 3,H02T2,Hypothesis,1:03:03,0:22:30,,X,,X,X,X,
Author 3,H02T2,Hypothesis,1:03:33,0:23:00,,,,X,,,
Author 3,H02T2,Hypothesis,1:04:03,0:23:30,,,,X,,,
Author 3,H02T2,Hypothesis,1:04:33,0:24:00,,,,X,X,X,
Author 3,H02T2,Hypothesis,1:05:03,0:24:30,,,,X,,X,
Author 3,H02T2,Hypothesis,1:05:33,0:25:00,,,,X,X,X,
Author 3,H02T2,Hypothesis,1:06:03,0:25:30,,,,X,,X,
Author 3,H02T2,Hypothesis,1:06:33,0:26:00,,,,X,,,
Author 3,H02T2,Hypothesis,1:07:03,0:26:30,,,,X,,,
Author 3,H02T2,Hypothesis,1:07:33,0:27:00,,,,X,,,
Author 3,H02T2,Hypothesis,1:08:03,0:27:30,,,,X,X,X,
Author 3,H03T1,Hypothesis,0:14:50,0:00:00,,X,,,,,
Author 3,H03T1,Hypothesis,0:15:20,0:00:30,,X,,X,,,
Author 3,H03T1,Hypothesis,0:15:50,0:01:00,,,,X,,,
Author 3,H03T1,Hypothesis,0:16:20,0:01:30,,,,X,,,
Author 3,H03T1,Hypothesis,0:16:50,0:02:00,,,,X,,,
Author 3,H03T1,Hypothesis,0:17:20,0:02:30,,,,X,,,
Author 3,H03T1,Hypothesis,0:17:50,0:03:00,,,,X,,,
Author 3,H03T1,Hypothesis,0:18:20,0:03:30,,,,X,,,
Author 3,H03T1,Hypothesis,0:18:50,0:04:00,,,,X,X,X,
Author 3,H03T1,Hypothesis,0:19:20,0:04:30,,,,,X,X,
Author 3,H03T1,Hypothesis,0:19:50,0:05:00,,X,,,,X,
Author 3,H03T1,Hypothesis,0:20:20,0:05:30,,X,X,,,,
Author 3,H03T1,Hypothesis,0:20:50,0:06:00,,,X,X,,,
Author 3,H03T1,Hypothesis,0:21:20,0:06:30,,,X,X,,,
Author 3,H03T1,Hypothesis,0:21:50,0:07:00,,,X,X,,,
Author 3,H03T1,Hypothesis,0:22:20,0:07:30,,,,X,,,
Author 3,H03T1,Hypothesis,0:22:50,0:08:00,,,,X,X,X,
Author 3,H03T1,Hypothesis,0:23:20,0:08:30,,,,X,,,
Author 3,H03T2,Hypothesis,0:27:53,0:00:00,,X,X,,,,
Author 3,H03T2,Hypothesis,0:28:23,0:00:30,,X,,,,,
Author 3,H03T2,Hypothesis,0:28:53,0:01:00,,X,X,X,,,
Author 3,H03T2,Hypothesis,0:29:23,0:01:30,,X,,X,X,X,
Author 3,H03T2,Hypothesis,0:29:53,0:02:00,,X,,,,,
Author 3,H03T2,Hypothesis,0:30:23,0:02:30,,X,,,,,
Author 3,H03T2,Hypothesis,0:30:53,0:03:00,,X,X,X,,,
Author 3,H03T2,Hypothesis,0:31:23,0:03:30,,,,X,X,X,
Author 3,H03T2,Hypothesis,0:31:53,0:04:00,,,X,X,,,
Author 3,H03T2,Hypothesis,0:32:23,0:04:30,,,,X,X,X,
Author 3,H03T2,Hypothesis,0:32:53,0:05:00,,,,X,X,X,
Author 3,H03T2,Hypothesis,0:33:23,0:05:30,,,,X,X,X,X
Author 3,H03T2,Hypothesis,0:33:53,0:06:00,,,,X,,,
Author 3,H03T2,Hypothesis,0:34:23,0:06:30,,,,X,,,
Author 3,H03T2,Hypothesis,0:34:53,0:07:00,,,X,X,,,
Author 3,H03T2,Hypothesis,0:35:23,0:07:30,,,,X,,,
Author 3,H03T2,Hypothesis,0:35:53,0:08:00,,,,X,,,
Author 3,H03T2,Hypothesis,0:36:23,0:08:30,,,,X,,,
Author 3,H03T2,Hypothesis,0:36:53,0:09:00,,,X,X,,,
Author 3,H03T2,Hypothesis,0:37:23,0:09:30,,,,X,,,
Author 3,H03T2,Hypothesis,0:37:53,0:10:00,,,,X,X,X,
Author 3,H03T2,Hypothesis,0:38:23,0:10:30,,,,X,X,X,
Author 3,H03T2,Hypothesis,0:38:53,0:11:00,,,,X,,,X
Author 3,H03T2,Hypothesis,0:39:23,0:11:30,,,,X,,,
Author 3,H03T2,Hypothesis,0:39:53,0:12:00,,,,X,,,
Author 3,H03T2,Hypothesis,0:40:23,0:12:30,,X,,,,,
Author 3,H04T1,Hypothesis,0:16:03,0:00:00,,X,,,,,
Author 3,H04T1,Hypothesis,0:16:33,0:00:30,,X,,,,,
Author 3,H04T1,Hypothesis,0:17:03,0:01:00,,,,X,,X,
Author 3,H04T1,Hypothesis,0:17:33,0:01:30,,,,X,,,
Author 3,H04T1,Hypothesis,0:18:03,0:02:00,,,,X,X,X,
Author 3,H04T1,Hypothesis,0:18:33,0:02:30,,,,X,X,X,
Author 3,H04T1,Hypothesis,0:19:03,0:03:00,,,,X,,,
Author 3,H04T1,Hypothesis,0:19:33,0:03:30,,,,X,X,X,
Author 3,H04T1,Hypothesis,0:20:03,0:04:00,,X,,X,,,
Author 3,H04T1,Hypothesis,0:20:33,0:04:30,,,X,X,,,
Author 3,H04T1,Hypothesis,0:21:03,0:05:00,,,X,X,,,
Author 3,H04T1,Hypothesis,0:21:33,0:05:30,,,,X,X,,
Author 3,H04T1,Hypothesis,0:22:03,0:06:00,,,,X,,,X
Author 3,H04T1,Hypothesis,0:22:33,0:06:30,,,,X,X,X,X
Author 3,H04T1,Hypothesis,0:23:03,0:07:00,,,,X,X,X,X
Author 3,H04T1,Hypothesis,0:23:33,0:07:30,,,,,,,X
Author 3,H04T1,Hypothesis,0:24:03,0:08:00,,,,,,,X
Author 3,H04T1,Hypothesis,0:24:33,0:08:30,,X,X,X,X,X,
Author 3,H04T1,Hypothesis,0:25:03,0:09:00,,,,,,,X
Author 3,H04T1,Hypothesis,0:25:33,0:09:30,,,,,X,,
Author 3,H04T1,Hypothesis,0:26:03,0:10:00,,,,X,X,,
Author 3,H04T1,Hypothesis,0:26:33,0:10:30,,,,,,,X
Author 3,H04T1,Hypothesis,0:27:03,0:11:00,,,,,,X,
Author 3,H04T2,Hypothesis,0:31:30,0:00:00,,X,,,,,
Author 3,H04T2,Hypothesis,0:32:00,0:00:30,,X,,,,,
Author 3,H04T2,Hypothesis,0:32:30,0:01:00,,X,,,,,
Author 3,H04T2,Hypothesis,0:33:00,0:01:30,,X,,,,,
Author 3,H04T2,Hypothesis,0:33:30,0:02:00,,X,,,,,X
Author 3,H04T2,Hypothesis,0:34:00,0:02:30,,X,,,,,
Author 3,H04T2,Hypothesis,0:34:30,0:03:00,,X,,,,,
Author 3,H04T2,Hypothesis,0:35:00,0:03:30,,X,,X,,,
Author 3,H04T2,Hypothesis,0:35:30,0:04:00,,X,,,,,
Author 3,H04T2,Hypothesis,0:36:00,0:04:30,,,,X,X,,
Author 3,H04T2,Hypothesis,0:36:30,0:05:00,,,,X,X,X,X
Author 3,H04T2,Hypothesis,0:37:00,0:05:30,,,,X,,X,
Author 3,H04T2,Hypothesis,0:37:30,0:06:00,,,,X,X,,
Author 3,H04T2,Hypothesis,0:38:00,0:06:30,,,,X,,,
Author 3,H04T2,Hypothesis,0:38:30,0:07:00,,,,X,,,
Author 3,H04T2,Hypothesis,0:39:00,0:07:30,,,,X,,,
Author 3,H04T2,Hypothesis,0:39:30,0:08:00,,,,X,X,X,
Author 3,H04T2,Hypothesis,0:40:00,0:08:30,,,,X,X,X,
Author 3,H04T2,Hypothesis,0:40:30,0:09:00,,,,X,,,
Author 3,H04T2,Hypothesis,0:41:00,0:09:30,,,,X,X,X,
Author 3,H04T2,Hypothesis,0:41:30,0:10:00,,,,X,,,
Author 3,H04T2,Hypothesis,0:42:00,0:10:30,,,,X,X,X,X
Author 3,H04T2,Hypothesis,0:42:30,0:11:00,,X,,,X,X,
Author 3,H04T2,Hypothesis,0:43:00,0:11:30,,X,,,,,
Author 3,H04T2,Hypothesis,0:43:30,0:12:00,,X,,,,,
Author 3,H04T2,Hypothesis,0:44:00,0:12:30,,X,,X,,,
Author 3,H04T2,Hypothesis,0:44:30,0:13:00,,,,X,X,X,
Author 3,H04T2,Hypothesis,0:45:00,0:13:30,,,X,X,,,
Author 3,H04T2,Hypothesis,0:45:30,0:14:00,,,,X,X,,
Author 3,H04T2,Hypothesis,0:46:00,0:14:30,,,,X,X,,X
Author 3,H04T2,Hypothesis,0:46:30,0:15:00,,,,X,X,,
Author 3,H04T2,Hypothesis,0:47:00,0:15:30,,,,X,,,
Author 3,H04T2,Hypothesis,0:47:30,0:16:00,,,,X,X,X,
Author 3,H04T2,Hypothesis,0:48:00,0:16:30,,,,X,X,X,X
Author 3,H04T2,Hypothesis,0:48:30,0:17:00,,,,,,X,
Author 3,H05T1,Hypothesis,0:10:28,0:00:00,,X,,,,,
Author 3,H05T1,Hypothesis,0:10:58,0:00:30,,X,,X,,,
Author 3,H05T1,Hypothesis,0:11:28,0:01:00,,,,X,,,
Author 3,H05T1,Hypothesis,0:11:58,0:01:30,,,,X,,,
Author 3,H05T1,Hypothesis,0:12:28,0:02:00,,,,X,,,
Author 3,H05T1,Hypothesis,0:12:58,0:02:30,,,,X,X,X,
Author 3,H05T1,Hypothesis,0:13:28,0:03:00,,X,,X,X,X,
Author 3,H05T1,Hypothesis,0:13:58,0:03:30,,X,,,X,X,
Author 3,H05T1,Hypothesis,0:14:28,0:04:00,,X,,,,,
Author 3,H05T1,Hypothesis,0:14:58,0:04:30,,X,,,,,
Author 3,H05T1,Hypothesis,0:15:28,0:05:00,,,,X,,,
Author 3,H05T1,Hypothesis,0:15:58,0:05:30,,,,X,,,
Author 3,H05T1,Hypothesis,0:16:28,0:06:00,,X,,X,X,,
Author 3,H05T2,Hypothesis,0:19:44,0:00:00,,X,,,,,
Author 3,H05T2,Hypothesis,0:20:14,0:00:30,,X,,,,,
Author 3,H05T2,Hypothesis,0:20:44,0:01:00,,X,,,,,
Author 3,H05T2,Hypothesis,0:21:14,0:01:30,,X,,,,,
Author 3,H05T2,Hypothesis,0:21:44,0:02:00,,X,,,,,
Author 3,H05T2,Hypothesis,0:22:14,0:02:30,,X,,,,,
Author 3,H05T2,Hypothesis,0:22:44,0:03:00,,X,,,,,
Author 3,H05T2,Hypothesis,0:23:14,0:03:30,,X,,,,,
Author 3,H05T2,Hypothesis,0:23:44,0:04:00,,X,,,,,
Author 3,H05T2,Hypothesis,0:24:14,0:04:30,,,,X,X,,X
Author 3,H05T2,Hypothesis,0:24:44,0:05:00,,,,,,,X
Author 3,H05T2,Hypothesis,0:25:14,0:05:30,,X,,,,,
Author 3,H05T2,Hypothesis,0:25:44,0:06:00,,X,,X,,,
Author 3,H05T2,Hypothesis,0:26:14,0:06:30,,,,X,X,X,X
Author 3,H05T2,Hypothesis,0:26:44,0:07:00,,X,,X,,,
Author 3,H05T2,Hypothesis,0:27:14,0:07:30,,X,,,,,
Author 3,H05T2,Hypothesis,0:27:44,0:08:00,,X,,,,,
Author 3,H05T2,Hypothesis,0:28:14,0:08:30,,X,,X,,,
Author 3,H05T2,Hypothesis,0:28:44,0:09:00,,,,X,,,
Author 3,H05T2,Hypothesis,0:29:14,0:09:30,,,,X,X,X,X
Author 1,H01T2,Hypothesis,0:48:58,0:00:00,,X,,,,,
Author 1,H01T2,Hypothesis,0:49:28,0:00:30,,X,,,,,
Author 1,H01T2,Hypothesis,0:49:58,0:01:00,,X,,,,,
Author 1,H01T2,Hypothesis,0:50:28,0:01:30,,X,,,,,
Author 1,H01T2,Hypothesis,0:50:58,0:02:00,,X,,,,,
Author 1,H01T2,Hypothesis,0:51:28,0:02:30,,X,,,,,
Author 1,H01T2,Hypothesis,0:51:58,0:03:00,,X,,,,,
Author 1,H01T2,Hypothesis,0:52:28,0:03:30,,X,X,,,,
Author 1,H01T2,Hypothesis,0:52:58,0:04:00,,,X,,,,
Author 1,H01T2,Hypothesis,0:53:28,0:04:30,,,,X,,,
Author 1,H01T2,Hypothesis,0:53:58,0:05:00,,,,X,,,
Author 1,H01T2,Hypothesis,0:54:28,0:05:30,,,,X,,,
Author 1,H01T2,Hypothesis,0:54:58,0:06:00,,,,X,X,,
Author 1,H01T2,Hypothesis,0:55:28,0:06:30,,X,X,,X,X,
Author 1,H01T2,Hypothesis,0:55:58,0:07:00,,X,,X,,,
Author 1,H01T2,Hypothesis,0:56:28,0:07:30,,X,X,,,,
Author 1,H01T2,Hypothesis,0:56:58,0:08:00,,X,X,,,,
Author 1,H01T2,Hypothesis,0:57:28,0:08:30,,,X,X,,,
Author 1,H01T2,Hypothesis,0:57:58,0:09:00,,,,X,,,
Author 1,H01T2,Hypothesis,0:58:28,0:09:30,,,,X,,,
Author 1,H01T2,Hypothesis,0:58:58,0:10:00,,X,,X,,,
Author 1,H01T2,Hypothesis,0:59:28,0:10:30,,X,,,,,
Author 1,H01T2,Hypothesis,0:59:58,0:11:00,,X,,,,,
Author 1,H01T2,Hypothesis,1:00:28,0:11:30,,X,,,,,
Author 1,H01T2,Hypothesis,1:00:58,0:12:00,,X,,,,,
Author 1,H01T2,Hypothesis,1:01:28,0:12:30,,X,,,,,
Author 1,H01T2,Hypothesis,1:01:58,0:13:00,,X,,,,,
Author 1,H01T2,Hypothesis,1:02:28,0:13:30,,X,,,,,
Author 1,H01T2,Hypothesis,1:02:58,0:14:00,,X,,,,,
Author 1,H01T2,Hypothesis,1:03:28,0:14:30,,X,,,,,
Author 1,H01T2,Hypothesis,1:03:58,0:15:00,,X,,,,,
Author 1,H01T2,Hypothesis,1:04:28,0:15:30,,X,,,,,
Author 1,H01T2,Hypothesis,1:04:58,0:16:00,,X,,,,,
Author 1,H01T2,Hypothesis,1:05:28,0:16:30,,X,,,,,
Author 1,H01T2,Hypothesis,1:05:58,0:17:00,,X,,X,,,
Author 1,H01T2,Hypothesis,1:06:28,0:17:30,,,X,X,,,
Author 1,H01T2,Hypothesis,1:06:58,0:18:00,,,,X,,,
Author 1,H01T2,Hypothesis,1:07:28,0:18:30,,,,X,,,
Author 1,H01T2,Hypothesis,1:07:58,0:19:00,,,,X,X,X,
Author 1,H01T2,Hypothesis,1:08:28,0:19:30,,,,X,,,
